country,ner,type
myanmar,kaung kin,other_ner
myanmar,madaya,other_ner
myanmar,gyobingauk,other_ner
myanmar,yangon,other_ner
myanmar,myaing,other_ner
myanmar,karenni,other_ner
myanmar,na gar,other_ner
myanmar,shwe tan,other_ner
myanmar,ye u,other_ner
myanmar,thayarwady,other_ner
myanmar,natogyi,other_ner
myanmar,tanintharyi,other_ner
myanmar,danu,other_ner
myanmar,tartay,other_ner
myanmar,kale district,other_ner
myanmar,shwebo,other_ner
myanmar,pyay,other_ner
myanmar,dawei,other_ner
myanmar,nsppdf,other_ner
myanmar,seikphyu,other_ner
myanmar,thandaung,other_ner
myanmar,alawaka,other_ner
myanmar,mandalay,other_ner
myanmar,myeik,other_ner
myanmar,myo nei,other_ner
myanmar,salingyi,other_ner
myanmar,pnlo,other_ner
myanmar,pnla,other_ner
myanmar,pa oh,other_ner
myanmar,kndo,other_ner
myanmar,pu war,other_ner
myanmar,red bandana,other_ner
myanmar,kanbalu,other_ner
myanmar,taloke,other_ner
myanmar,chinland,other_ner
myanmar,matupi,other_ner
myanmar,union liberation front,other_ner
myanmar,msrf,other_ner
myanmar,paungde,other_ner
myanmar,siyin,other_ner
myanmar,khin u,other_ner
myanmar,ah htoo,other_ner
myanmar,black falcon,other_ner
myanmar,uurf,other_ner
myanmar,kyar nyi,other_ner
myanmar,thayet,other_ner
myanmar,daung min,other_ner
myanmar,dsndf,other_ner
myanmar,dsnda,other_ner
myanmar,hpdf,other_ner
myanmar,homalin,other_ner
myanmar,pslf,other_ner
myanmar,tnla,other_ner
myanmar,palaung,other_ner
myanmar,ta ang,other_ner
myanmar,myanmar,country_name
namibia,windhoek,capital
namibia,namibia,country_name
nassau,nassau,country_name
nauru,nauru,country_name
nepal,kathmandu,capital
nepal,nepal,country_name
netherlands,amsterdam,capital
netherlands,netherlands,country_name
netherlands antilles,netherlands antilles,country_name
new caledonia,new caledonia,country_name
new zealand,wellington,capital
new zealand,new zealand,country_name
nicaragua,managua,capital
nicaragua,nicaragua,country_name
niger,niamey,capital
niger,islamic state sahel province,other_ner
niger,issp,other_ner
niger,fpl,other_ner
niger,jnim,other_ner
niger,boko haram,other_ner
niger,islamic state west africa province,other_ner
niger,iswap,other_ner
niger,gendamerie,other_ner
niger,motogatta,other_ner
niger,tchalakame,other_ner
niger,niger,country_name
nigeria,abuja,capital
nigeria,zamfara,other_ner
nigeria,tarok,other_ner
nigeria,katsina,other_ner
nigeria,fulani,other_ner
nigeria,okuama,other_ner
nigeria,islamic state west africa province,other_ner
nigeria,iswap,other_ner
nigeria,mnjtf,other_ner
nigeria,ichen,other_ner
nigeria,ipob,other_ner
nigeria,benue,other_ner
nigeria,kaduna,other_ner
nigeria,boko haram,other_ner
nigeria,bassa,other_ner
nigeria,montol,other_ner
nigeria,watch corps,other_ner
nigeria,okoloba,other_ner
nigeria,gbagyi,other_ner
nigeria,kauru,other_ner
nigeria,nigeria,country_name
niue,niue,country_name
norfolk island,norfolk island,country_name
north korea,pyongyang,capital
north korea,north korea,country_name
north macedonia,skopje,capital
north macedonia,north macedonia,country_name
northern mariana islands,northern mariana islands,country_name
norway,oslo,capital
norway,norway,country_name
oldenburg,oldenburg,country_name
oman,muscat,capital
oman,oman,country_name
orange free state,orange free state,country_name
pakistan,islamabad,capital
pakistan,tehreek,other_ner
pakistan,baloch,other_ner
pakistan,islamic state pakistan province,other_ner
pakistan,ispp,other_ner
pakistan,jatoi,other_ner
pakistan,pakistan,country_name
palau,palau,country_name
palestine,ramallah,capital
palestine,hamas,other_ner
palestine,palestinian islamic jihad,other_ner
palestine,pij,other_ner
palestine,al aqsa,other_ner
palestine,gaza,other_ner
palestine,palestinian,country_name
palestine,palestine,country_name
palestine,palestine state of,country_name
panama,panama city,capital
panama,panama,country_name
papua new guinea,papua new guinea,country_name
paraguay,asuncion,capital
paraguay,paraguay,country_name
parma,parma,country_name
peru,lima,capital
peru,peru,country_name
philippines,manila,capital
philippines,philippines,country_name
piedmont sardinia,piedmont sardinia,country_name
pitcairn,pitcairn,country_name
pitcairn islands,pitcairn islands,country_name
poland,warsaw,capital
poland,poland,country_name
portugal,lisbon,capital
portugal,portugal,country_name
prussia,prussia,country_name
puerto rico,puerto rico,country_name
qatar,doha,capital
qatar,qatar,country_name
republic of congo,brazzaville,capital
republic of congo,republic of congo,country_name
republic of vietnam,republic of vietnam,country_name
reunion,reunion,country_name
romania,bucharest,capital
romania,romania,country_name
russia,moscow,capital
russia,khorasan,other_ner
russia,islamic state khorasan province,other_ner
russia,iskp,other_ner
russia,freedom of russia,other_ner
russia,rdk,other_ner
russia,russia,country_name
russian federation,russian federation,country_name
rwanda,kigali,capital
rwanda,rwanda,country_name
saint barthelemy,saint barthelemy,country_name
saint helena,jamestown,capital
saint helena ascension and tristan da cunha,saint helena ascension and tristan da cunha,country_name
saint kitts and nevis,basseterre,capital
saint kitts and nevis,saint kitts and nevis,country_name
saint lucia,castries,capital
saint lucia,saint lucia,country_name
saint martin,saint martin,country_name
saint pierre and miquelon,saint pierre and miquelon,country_name
saint vincent and the grenadines,kingstown,capital
saint vincent and the grenadines,saint vincent and the grenadines,country_name
samoa,samoa,country_name
san marino,san marino,capital
san marino,san marino,country_name
sao tome and principe,sao tome and principe,country_name
sao tome principe,sao tome,capital
sao tome principe,sao tome principe,country_name
sardinia,sardinia,country_name
saudi arabia,riyadh,capital
saudi arabia,saudi arabia,country_name
saxe weimar eisenach,saxe weimar eisenach,country_name
saxony,saxony,country_name
senegal,dakar,capital
senegal,senegal,country_name
serbia,belgrade,capital
serbia,serbia,country_name
serbia and montenegro,serbia and montenegro,country_name
seychelles,victoria,capital
seychelles,seychelles,country_name
sierra leone,freetown,capital
sierra leone,sierra leone,country_name
singapore,singapore,capital
singapore,singapore,country_name
sint maarten,sint maarten,country_name
slovakia,bratislava,capital
slovakia,slovakia,country_name
slovenia,ljubljana,capital
slovenia,slovenia,country_name
solomon islands,solomon islands,country_name
somalia,mogadishu,capital
somalia,al shabaab,other_ner
somalia,dir clan,other_ner
somalia,jubaland,other_ner
somalia,habar gedir saad,other_ner
somalia,majerteen omar,other_ner
somalia,hiiraan,other_ner
somalia,sheeqaal,other_ner
somalia,atmis,other_ner
somalia,leelkayse,other_ner
somalia,majerteen issa,other_ner
somalia,somalia,country_name
somaliland,somaliland,country_name
south africa,pretoria,capital
south africa,south africa,country_name
south georgia and the south sandwich islands,south georgia and the south sandwich islands,country_name
south georgia south sandwich islands,south georgia south sandwich islands,country_name
south korea,seoul,capital
south korea,south korea,country_name
south korea,korea,country_name
south sudan,juba,capital
south sudan,murle,other_ner
south sudan,bul clan,other_ner
south sudan,dinka,other_ner
south sudan,agar,other_ner
south sudan,pakam agar,other_ner
south sudan,anyuak,other_ner
south sudan,gok clan,other_ner
south sudan,panyar agar,other_ner
south sudan,apuk rek,other_ner
south sudan,budi,other_ner
south sudan,luach jang,other_ner
south sudan,kuacthii leer rek,other_ner
south sudan,apuk giir rek,other_ner
south sudan,gawaar,other_ner
south sudan,rek,other_ner
south sudan,kuok luach jang,other_ner
south sudan,nyang rek,other_ner
south sudan,south sudan,country_name
spain,madrid,capital
spain,spain,country_name
sri lanka,sri jayawardenapura kotte and colombo,capital
sri lanka,sri lanka,country_name
st barthelemy,st barthelemy,country_name
st helena,st helena,country_name
st kitts nevis,st kitts nevis,country_name
st lucia,st lucia,country_name
st pierre miquelon,st pierre miquelon,country_name
st vincent grenadines,st vincent grenadines,country_name
stateless,stateless,country_name
sudan,khartoum,capital
sudan,rsf,other_ner
sudan,rapid support forces,other_ner
sudan,splm,other_ner
sudan,abdelaziz,other_ner
sudan,splm n abdelaziz,other_ner
sudan,abdul wahid,other_ner
sudan,mahyriya,other_ner
sudan,rizeigat,other_ner
sudan,shugara,other_ner
sudan,darfur,other_ner
sudan,twic,other_ner
sudan,nuer,other_ner
sudan,habbaniyah,other_ner
sudan,misseriya,other_ner
sudan,mararit,other_ner
sudan,el udayyah,other_ner
sudan,al sharef,other_ner
sudan,habila,other_ner
sudan,teital,other_ner
sudan,ngok,other_ner
sudan,abu darak,other_ner
sudan,sudan,country_name
suriname,paramaribo,capital
suriname,suriname,country_name
svalbard and jan mayen,svalbard and jan mayen,country_name
svalbard jan mayen,svalbard jan mayen,country_name
sweden,stockholm,capital
sweden,sweden,country_name
switzerland,bern,capital
switzerland,switzerland,country_name
syria,damascus,capital
syria,hts,other_ner
syria,hayat,other_ner
syria,jws,other_ner
syria,isil,other_ner
syria,isis,other_ner
syria,al fath,other_ner
syria,daesh,other_ner
syria,qsd,other_ner
syria,qdw,other_ner
syria,syria,country_name
syrian arab republic,syrian arab republic,country_name
taiwan,taipei,capital
taiwan,taiwan,country_name
tajikistan,dushanbe,capital
tajikistan,tajikistan,country_name
tanzania,dodoma,capital
tanzania,tanzania,country_name
tanzania the united republic of,tanzania the united republic of,country_name
thailand,bangkok,capital
thailand,thailand,country_name
tibet,tibet,country_name
timor leste,timor leste,country_name
togo,lome,capital
togo,jnim,other_ner
togo,togo,country_name
tokelau,tokelau,country_name
tonga,tonga,country_name
trinidad and tobago,port of spain,capital
trinidad and tobago,trinidad and tobago,country_name
trinidad tobago,trinidad tobago,country_name
tunisia,tunis,capital
tunisia,tunisia,country_name
turkey,ankara,capital
turkey,turkey,country_name
turkmenistan,asgabat,capital
turkmenistan,turkmenistan,country_name
turks and caicos islands,turks and caicos islands,country_name
turks caicos islands,turks caicos islands,country_name
tuscany,tuscany,country_name
tuvalu,tuvalu,country_name
two sicilies,two sicilies,country_name
u k,london,capital
u k,united kingdom,country_name
u k,u k,country_name
u s,u s,country_name
u s virgin islands,u s virgin islands,country_name
uganda,kampala,capital
uganda,uganda,country_name
ukraine,kyiv,capital
ukraine,lsr,other_ner
ukraine,ukraine,country_name
united arab emirates,abu dhabi,capital
united arab emirates,united arab emirates,country_name
united arab republic,united arab republic,country_name
united province ca,united province ca,country_name
united states,washington d c,capital
united states,united states,country_name
united states minor outlying islands,united states minor outlying islands,country_name
united states of america,united states of america,country_name
unknown,unknown,country_name
uruguay,montevideo,capital
uruguay,uruguay,country_name
uzbekistan,tashkent,capital
uzbekistan,uzbekistan,country_name
vanuatu,vanuatu,country_name
vatican city,vatican city,country_name
venezuela,caracas,capital
venezuela,venezuela,country_name
viet nam,viet nam,country_name
vietnam,hanoi,capital
vietnam,vietnam,country_name
virgin islands,virgin islands,country_name
wallis and futuna,wallis and futuna,country_name
wallis futuna,wallis futuna,country_name
western sahara,western sahara,country_name
wuerttemburg,wuerttemburg,country_name
wurtemberg,wurtemberg,country_name
yemen,sana a,capital
yemen,houthi,other_ner
yemen,giants brigades,other_ner
yemen,yemen,country_name
yemen arab republic,yemen arab republic,country_name
yemen people s republic,yemen people s republic,country_name
yugoslavia,yugoslavia,country_name
zambia,lusaka,capital
zambia,zambia,country_name
zanzibar,zanzibar,country_name
zimbabwe,harare,capital
zimbabwe,zimbabwe,country_name
